t	x_inner	y_inner	v_inner	theta_inner	omega_inner	x_outer	y_outer	v_outer	theta_outer	omega_outer
61.01929167	24.20085744	-137.5290254	75.59264397054407	2.9674068486623257	0.5373624485328837	-38.51801457	-63.26088226	709.7093423565931	3.688512863735954	-3.2877419864671613
61.02763333	23.59353705	-137.7762977	78.60903679071265	2.9719924693137356	0.5497251927566329	-33.39956157	-59.09224839	791.3553502211494	3.656038773498294	-3.89300094197834
61.035975	22.39282376	-137.459161	148.87773319546295	2.9801059164065755	0.972640621463067	-28.75226498	-56.38359912	644.8405396846025	3.6131607801930237	-5.140216923621997
61.04431667	21.29531378	-137.4353086	131.60064397755556	2.9878672221095144	0.9304258862960051	-23.87910671	-53.40993687	684.3707381668174	3.562024893455887	-6.130173782604209
61.05265833	20.13751548	-137.5472508	139.4443432584686	2.996221078071031	1.0014620544972561	-19.33777412	-50.87696281	623.3731941262813	3.504817434725996	-6.858042491529996
61.061	18.74406505	-137.420168	167.74020204178686	3.0060295676436715	1.1758424359439	-14.95860406	-49.34022963	556.3608087663748	3.4359575122684802	-8.254932460468382
61.06934167	17.95176844	-137.4620818	95.1133873745124	3.011733241498896	0.6837568322919114	-11.55329001	-48.03456902	437.2076255400695	3.3776295599659476	-6.992359120239961
61.07768333	16.54539643	-137.5762995	169.1512780259483	3.021904054058147	1.2192792033302629	-9.815626881	-46.51572379	276.6705517598917	3.3495590715128665	-3.3650962102367696
61.086025	15.53790448	-137.8300918	124.55133107389801	3.0293342916337247	0.8907374153589908	0.6747320167	-45.82359632	1260.3191588853438	3.126869163646134	-26.69608218339137
61.09436667	14.57743483	-137.9813525	116.56028527699117	3.036335242358599	0.839274476798343	5.625616103	-42.28725054	729.3694579886729	3.0093358414312137	-14.089903126702364
61.10270833	12.9506615	-138.4797894	203.96662455175715	3.048343647248358	1.439570168259067	9.869231034	-43.70178885	536.2437330356809	2.919487125362323	-10.771083461672957
61.11105	11.41550752	-138.7788743	187.49448369338816	3.0595206154079038	1.339895747439735	14.11284597	-42.9945197	515.7420900090764	2.82442626183944	-11.395903161223378
61.11939167	9.684193504	-138.623301	208.38630099049735	3.0718461882020387	1.4775905537062501	19.60846613	-44.52414266	683.8586770585548	2.7267500737949626	-11.70942845311266
61.12773333	8.086071738	-138.9762014	196.19860936243822	3.0834750362388283	1.394068810859073	20.26142601	-44.7910563	84.56438243443114	2.7167826323477557	-1.1948990305536
61.136075	6.473002355	-139.262392	196.39480231639183	3.0951454630242945	1.399051603032251	24.08285834	-45.54445012	466.93168463409614	2.655189343652163	-7.383807882065818
61.14441667	4.97909569	-139.2208798	179.15876767662155	3.105843889004159	1.2825280764959854	28.25675955	-46.77016997	521.4967834148998	2.598118475754941	-6.841659751251429
61.15275833	3.173767478	-139.2928237	216.59491717706933	3.118811735345561	1.554588216422533	32.55845655	-48.38687842	550.9059187625322	2.549302348897585	-5.85208781673678
61.1611	1.245609844	-139.2418295	231.228499901654	3.1326472337866593	1.6586005489426345	37.17589812	-50.22901243	595.9646327973928	2.5044396257053743	-5.378146485321323
61.16944167	-0.2560062075	-139.1354928	180.46463732328453	3.1434326292383075	1.292953983033138	41.49028096	-52.36736329	577.2501655072626	2.471568969681506	-3.940536610039448
61.17778333	-1.943612976	-139.154964	202.32412874267627	3.1555590012177195	1.453712088410833	46.10556526	-55.27903634	654.1845808746901	2.4464306687848714	-3.0135849335308658
61.186125	-3.772520965	-139.015192	219.8889626472751	3.1687234674112004	1.5781571548000293	51.42135408	-58.73981647	760.4083766729862	2.4225311504710114	-2.865075975657119
61.19446667	-5.73968753	-139.0421749	235.8462530347217	3.1828494205909457	1.6934202839173889	55.90929967	-62.92980083	736.0443569578616	2.4152015943788987	-0.8786677118745589
61.20280833	-7.516169148	-139.1173077	213.15537977436406	3.195567740351077	1.5246749160384836	60.15144618	-67.14383587	716.818517830475	2.4110698118712808	-0.4953189781907644
61.21115	-9.05967534	-139.0095755	185.48579837980668	3.2066736441325867	1.3313765446858565	64.8589314	-72.48848772	853.8097447260834	2.411686783306531	0.07396258006495188
61.21949167	-10.65416404	-139.0215335	191.15279546857153	3.2180799355515877	1.3673870362901632	70.16942091	-78.67820668	977.6947108148976	2.413296748310255	0.19300272052540393
61.22783333	-12.08692595	-138.9360738	172.06507422201457	3.2283704832462323	1.233633077185694	74.03351645	-85.08669154	897.1006886015226	2.425547391783141	1.468609781851169
61.236175	-13.63467162	-138.930332	185.54513908825103	3.239419732971703	1.3245848523701764	78.11019074	-92.41924813	1005.7477898274057	2.4399079893890354	1.721549474612918
61.24451667	-14.90145283	-138.5837969	157.44143409270941	3.2487077578929635	1.1134490960755177	82.26232518	-100.6806876	1108.4311546516508	2.456534524152368	1.9931901841396986
61.25285833	-15.83024887	-138.7551637	113.22358991006061	3.2551891337249215	0.7769887326933177	85.610004	-110.5672562	1251.3059481915693	2.482732629320125	3.1406344981405403
61.2612	-16.88092336	-138.3886125	133.40000309137724	3.262975009320008	0.9333713267350894	88.57183206	-120.0330954	1189.017772573821	2.5058838044515594	2.7753645410852252
61.26954167	-17.54274788	-138.4027682	79.35771735536669	3.267671753262681	0.5630460019004866	90.94497277	-130.6936998	1309.276357054357	2.533648275436939	3.328406780102692
